,0,1,2,3,4,5,6,7,8,9
1156,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3230,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4072,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1000,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4981,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3390,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1469,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2057,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2444,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2268,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
514,0.7105263157894737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1442,0.05263157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5167,0.07894736842105263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3775,0.07894736842105263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3403,0.07894736842105263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1894,0.07894736842105263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3873,0.07894736842105263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5197,0.10526315789473684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2582,0.10526315789473684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4497,0.10526315789473684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
731,0.10526315789473684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5049,0.13157894736842105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1225,0.05263157894736842,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5235,0.02631578947368421,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1905,0.02631578947368421,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2605,0.05263157894736842,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3409,0.05263157894736842,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3010,0.05263157894736842,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
